	ИМЯ	ПОЛ	КАТЕГОРИЯ	ГОДЫ ЖИЗНИ	ЗНАКОМСТВО	Года в ПРОЗА	Года в СТИХ	Года в ПОЭМА	Года в ДРАМА	Года в СТИХ+ПРОЗА
257	Хрущёв Никита Сергеевич	М	Политический деятель	1894-1971	1	1981, 1982, 1987, 1990, 1992, 1998, 1999, 2000, 2001	1997, 2000, 2003, 2004			1964
258	Цветаева Марина Ивановна	М	Поэт	1892-1941	0	1966, 1970, 1981, 1984, 1992, 1997, 1998, 1999, 2000, 2003, 2006, 2009	1968, 1970, 1976, 1982, 1984, 2005			
259	Цезарь Гай Юлий	М	Историческая личность	100 до н.э.-44 до н.э.	0	1999	1975			
260	Чаадаев Пётр Яковлевич	М	Философ	1794-1856	0	1975	1996			
261	Чайковский Пётр Ильич	М	Композитор	1840-1893	0	1973, 1975, 1984, 1992, 1999	1981, 1993, 1996, 2004	1996, 1999	1999	
262	Чаклайс Марис Рудольфович	М	Поэт	1940-2003	0	1973, 1978	1971			
263	Чаплин Чарльз Спенсер	М	Актер	1889-1977	0	1998				1978
264	Шагал Марк Захарович	М	Художник	1887-1985	1	1984, 1990, 1992, 1994, 1997, 1998, 1999, 2000, 2002	1973, 1978, 1980, 1988	1999		
265	Шевчук Юрий Юлианович	М	Музыкант, поэт	1957-н.в.	1	1998, 1999	2009			
266	Шекспир Уильям	М	Драматург	1564-1616	0	1967, 1998, 2001	1967, 1976, 1977, 1980, 1983	1998		
267	Шестов Лев Исаакович	М	Философ	1866-1938	0	1990	1986	1986		
268	Шкловский Виктор Борисович	М	Писатель	1893-1984	1	1970, 1976, 1990, 2003	1964, 1972, 1982			
269	Шнитке Альфред Гарриевич	М	Композитор	1934-1998	1	1990	1974, 2002			
270	Шопен Фредерик Франсуа	М	Композитор	1810-1849	0	1984, 1990, 1998, 2001	1967, 1981			
271	Шопенгауэр Артур	М	Философ	1788-1860	0	1990	2006			
272	Шостакович Дмитрий Дмитриевич	М	Композитор	1906-1975	1	1973, 1990, 1998, 2000	1974, 2002			
273	Шуберт Франц	М	Композитор	1797-1828	0	1997	1980			
274	Шукшин Василий Макарович	М	Писатель	1929-1974	1	1981, 2000	1975			
275	Щедрин Родион Константинович	М	Композитор	1932-н.в.	1	1966, 1975, 1984, 1990, 1992, 1998	1967, 1973, 1981, 2002			
276	Щипачёв Степан Петрович	М	Поэт	1899-1980	1	1984	1959			
277	Элиот Томас Стернз	М	Поэт	1888-1965	0	1984, 1990, 1998	1979			
278	Эрдман Николай Робертович	М	Драматург	1900-1970	1	1990		1999		
279	Юон Константин Фёдорович	М	Художник	1875-1958	0	1975	1973			
280	Яковлев Александр Николаевич	М	Политический деятель	1923-2005	1	1998, 2000		1986		
281	Яншин Алексей	М	Учёный	Неизвестно	0	1992		1986		
